('I', 'O', 'E', 'A', 'D', 'U', 'G', 'F', 'P') ('S', 'N', 'T', 'H', 'L', 'C', 'W', 'R', 'M') 3407234561
('I', 'R', 'H', 'E', 'C', 'D', 'M', 'U', 'G') ('S', 'T', 'A', 'N', 'W', 'O', 'P', 'L', 'F') 3184214609
('A', 'S', 'I', 'N', 'L', 'U', 'W', 'C', 'F') ('O', 'T', 'H', 'E', 'M', 'R', 'D', 'G', 'P') 3184201369
('A', 'T', 'I', 'N', 'M', 'U', 'W', 'F', 'P') ('O', 'S', 'H', 'E', 'D', 'R', 'L', 'C', 'G') 3184167464
('A', 'S', 'E', 'R', 'L', 'U', 'G', 'C', 'P') ('I', 'N', 'T', 'H', 'F', 'D', 'M', 'O', 'W') 3184146733
('O', 'A', 'T', 'H', 'U', 'C', 'W', 'D', 'P') ('I', 'N', 'R', 'E', 'L', 'S', 'M', 'G', 'F') 3184138170
('I', 'S', 'H', 'E', 'C', 'D', 'P', 'U', 'W') ('R', 'T', 'A', 'N', 'M', 'O', 'G', 'L', 'F') 3184137505
('A', 'I', 'E', 'S', 'P', 'C', 'G', 'L', 'M') ('O', 'N', 'T', 'H', 'R', 'D', 'W', 'F', 'U') 3184133728
('I', 'T', 'E', 'S', 'P', 'U', 'W', 'M', 'G') ('O', 'R', 'A', 'N', 'L', 'D', 'C', 'H', 'F') 3184133401
('I', 'O', 'R', 'E', 'C', 'L', 'M', 'P', 'F') ('A', 'N', 'T', 'H', 'S', 'G', 'W', 'D', 'U') 3184125136
('A', 'I', 'H', 'E', 'C', 'L', 'F', 'G', 'P') ('S', 'O', 'N', 'T', 'D', 'R', 'W', 'U', 'M') 3184033634
('A', 'I', 'T', 'H', 'C', 'L', 'G', 'D', 'M') ('S', 'O', 'R', 'E', 'P', 'N', 'W', 'F', 'U') 3184012939
('O', 'I', 'S', 'T', 'U', 'C', 'W', 'D', 'P') ('A', 'N', 'H', 'E', 'L', 'R', 'M', 'G', 'F') 3184005508
('I', 'S', 'T', 'E', 'M', 'L', 'W', 'G', 'P') ('O', 'R', 'A', 'N', 'D', 'U', 'C', 'H', 'F') 3183996576
('T', 'N', 'R', 'E', 'L', 'D', 'M', 'F', 'W') ('O', 'H', 'A', 'S', 'U', 'I', 'P', 'C', 'G') 3183953178
('O', 'T', 'I', 'N', 'W', 'D', 'P', 'C', 'F') ('A', 'S', 'H', 'E', 'L', 'R', 'M', 'U', 'G') 3183947965
('A', 'I', 'T', 'E', 'C', 'D', 'P', 'U', 'W') ('S', 'R', 'O', 'N', 'H', 'G', 'L', 'F', 'M') 3183947850
('A', 'R', 'S', 'T', 'L', 'C', 'F', 'M', 'G') ('I', 'O', 'H', 'E', 'D', 'N', 'P', 'U', 'W') 3183943420
('R', 'S', 'I', 'N', 'D', 'U', 'W', 'C', 'L') ('A', 'T', 'H', 'E', 'M', 'O', 'P', 'G', 'F') 3183921505
('T', 'O', 'A', 'N', 'D', 'U', 'W', 'F', 'C') ('I', 'S', 'H', 'E', 'L', 'R', 'M', 'P', 'G') 3183861742
('O', 'E', 'S', 'T', 'F', 'D', 'C', 'L', 'W') ('A', 'R', 'I', 'N', 'G', 'U', 'P', 'M', 'H') 3183845245
('O', 'N', 'H', 'E', 'C', 'L', 'F', 'G', 'P') ('I', 'A', 'S', 'T', 'U', 'R', 'W', 'D', 'M') 3183821096
('R', 'I', 'T', 'O', 'U', 'L', 'W', 'D', 'C') ('A', 'N', 'H', 'E', 'M', 'S', 'F', 'G', 'P') 3183809097
('R', 'N', 'T', 'H', 'L', 'D', 'C', 'U', 'F') ('A', 'I', 'E', 'S', 'P', 'O', 'G', 'M', 'W') 3183808093
('O', 'I', 'T', 'H', 'U', 'L', 'G', 'D', 'P') ('A', 'S', 'R', 'E', 'C', 'N', 'M', 'F', 'W') 3183797386
('I', 'S', 'H', 'E', 'C', 'D', 'L', 'P', 'G') ('O', 'A', 'N', 'T', 'U', 'R', 'W', 'F', 'M') 3183793799
('T', 'R', 'O', 'N', 'C', 'D', 'G', 'F', 'L') ('A', 'I', 'H', 'E', 'P', 'S', 'M', 'W', 'U') 3183764061
('A', 'N', 'T', 'E', 'L', 'M', 'W', 'F', 'U') ('I', 'S', 'O', 'R', 'C', 'D', 'G', 'H', 'P') 3183716428
('A', 'O', 'E', 'R', 'P', 'U', 'W', 'M', 'G') ('I', 'N', 'T', 'H', 'L', 'D', 'C', 'S', 'F') 3183689953
('N', 'T', 'H', 'E', 'G', 'D', 'L', 'W', 'F') ('S', 'I', 'O', 'R', 'U', 'A', 'P', 'M', 'C') 3183687266
('A', 'I', 'S', 'T', 'P', 'C', 'D', 'M', 'G') ('O', 'R', 'H', 'E', 'L', 'N', 'F', 'W', 'U') 3183674532
('A', 'T', 'I', 'N', 'G', 'U', 'P', 'L', 'F') ('O', 'S', 'H', 'E', 'D', 'R', 'M', 'C', 'W') 3183667248
('I', 'O', 'H', 'E', 'D', 'L', 'M', 'F', 'W') ('R', 'A', 'S', 'T', 'U', 'N', 'P', 'C', 'G') 3183632380
('I', 'O', 'H', 'E', 'D', 'M', 'F', 'W', 'U') ('A', 'N', 'S', 'T', 'L', 'R', 'G', 'C', 'P') 3183616718
('A', 'R', 'H', 'E', 'C', 'L', 'M', 'W', 'U') ('T', 'S', 'I', 'N', 'D', 'O', 'G', 'P', 'F') 3183609505
('A', 'I', 'T', 'E', 'P', 'M', 'W', 'G', 'F') ('S', 'R', 'O', 'N', 'L', 'D', 'C', 'H', 'U') 3183606986
('R', 'N', 'S', 'T', 'L', 'C', 'M', 'U', 'W') ('I', 'A', 'H', 'E', 'O', 'D', 'P', 'G', 'F') 3183601737
('R', 'S', 'H', 'E', 'C', 'D', 'L', 'P', 'G') ('A', 'T', 'I', 'N', 'W', 'O', 'U', 'M', 'F') 3183596359
('O', 'I', 'T', 'H', 'W', 'C', 'G', 'L', 'D') ('S', 'A', 'R', 'E', 'U', 'N', 'M', 'P', 'F') 3183589714
('I', 'S', 'T', 'E', 'D', 'L', 'M', 'F', 'G') ('O', 'R', 'A', 'N', 'C', 'U', 'W', 'H', 'P') 3183580555
('O', 'N', 'E', 'S', 'M', 'U', 'F', 'D', 'G') ('A', 'I', 'T', 'H', 'P', 'C', 'W', 'R', 'L') 3183576243
('I', 'S', 'T', 'H', 'D', 'C', 'P', 'L', 'G') ('O', 'A', 'R', 'E', 'F', 'N', 'M', 'U', 'W') 3183567168
('O', 'I', 'H', 'E', 'C', 'D', 'M', 'P', 'F') ('S', 'A', 'N', 'T', 'U', 'R', 'W', 'G', 'L') 3183548435
('I', 'O', 'H', 'E', 'D', 'L', 'F', 'W', 'P') ('S', 'A', 'N', 'T', 'U', 'R', 'M', 'G', 'C') 3183526358
('A', 'N', 'S', 'T', 'M', 'D', 'F', 'C', 'W') ('O', 'I', 'H', 'E', 'U', 'R', 'L', 'P', 'G') 3183466289
('T', 'R', 'O', 'N', 'C', 'D', 'W', 'F', 'L') ('A', 'I', 'H', 'E', 'P', 'S', 'M', 'G', 'U') 3183455729
('R', 'N', 'S', 'T', 'L', 'D', 'W', 'G', 'M') ('A', 'I', 'H', 'E', 'C', 'O', 'P', 'U', 'F') 3183451695
('O', 'I', 'T', 'E', 'M', 'L', 'W', 'F', 'G') ('R', 'S', 'A', 'N', 'D', 'U', 'C', 'H', 'P') 3183436167
('A', 'N', 'T', 'E', 'C', 'G', 'P', 'F', 'W') ('O', 'R', 'I', 'S', 'L', 'U', 'H', 'D', 'M') 3183427398
('I', 'O', 'E', 'R', 'G', 'U', 'P', 'M', 'F') ('A', 'N', 'T', 'H', 'L', 'D', 'W', 'S', 'C') 3183422872
('O', 'S', 'T', 'H', 'M', 'C', 'G', 'D', 'P') ('E', 'R', 'I', 'N', 'L', 'A', 'U', 'F', 'W') 3183405267
('R', 'S', 'I', 'N', 'C', 'P', 'F', 'L', 'M') ('A', 'T', 'H', 'E', 'D', 'O', 'G', 'W', 'U') 3183385232
('O', 'I', 'T', 'E', 'U', 'L', 'W', 'F', 'P') ('R', 'S', 'A', 'N', 'D', 'G', 'C', 'H', 'M') 3183384347
('E', 'S', 'I', 'N', 'D', 'G', 'W', 'C', 'M') ('O', 'A', 'T', 'H', 'U', 'L', 'P', 'R', 'F') 3183359762
('A', 'I', 'S', 'E', 'C', 'L', 'M', 'W', 'F') ('O', 'N', 'T', 'H', 'R', 'D', 'G', 'U', 'P') 3183359621
('I', 'A', 'S', 'T', 'F', 'L', 'M', 'D', 'G') ('O', 'R', 'H', 'E', 'C', 'N', 'P', 'U', 'W') 3183308788
('O', 'S', 'E', 'R', 'C', 'U', 'P', 'L', 'W') ('A', 'T', 'I', 'N', 'G', 'H', 'F', 'D', 'M') 3183305467
('S', 'T', 'H', 'E', 'W', 'D', 'M', 'P', 'G') ('O', 'R', 'I', 'N', 'L', 'A', 'U', 'C', 'F') 3183291795
('R', 'T', 'O', 'N', 'G', 'D', 'W', 'M', 'L') ('A', 'S', 'H', 'E', 'C', 'I', 'P', 'U', 'F') 3183259752
('R', 'N', 'S', 'T', 'L', 'D', 'C', 'U', 'P') ('I', 'O', 'H', 'E', 'A', 'M', 'F', 'W', 'G') 3183179231
('A', 'I', 'S', 'T', 'C', 'L', 'M', 'D', 'G') ('O', 'N', 'H', 'E', 'P', 'R', 'F', 'W', 'U') 3183176458
('N', 'T', 'H', 'E', 'G', 'L', 'M', 'P', 'W') ('I', 'S', 'A', 'R', 'C', 'O', 'U', 'D', 'F') 3183172713
('O', 'A', 'T', 'E', 'C', 'L', 'M', 'P', 'G') ('R', 'S', 'I', 'N', 'D', 'U', 'W', 'H', 'F') 3183167495
('A', 'N', 'R', 'E', 'P', 'D', 'W', 'G', 'U') ('O', 'I', 'T', 'H', 'F', 'C', 'M', 'S', 'L') 3183140889
('I', 'N', 'E', 'R', 'M', 'G', 'W', 'D', 'C') ('S', 'A', 'T', 'H', 'U', 'L', 'F', 'O', 'P') 3183138239
('E', 'O', 'I', 'N', 'G', 'F', 'P', 'M', 'W') ('A', 'S', 'T', 'H', 'L', 'C', 'U', 'R', 'D') 3183138159
('A', 'N', 'T', 'H', 'L', 'G', 'C', 'D', 'F') ('O', 'S', 'E', 'R', 'M', 'U', 'W', 'I', 'P') 3183127712
('I', 'O', 'H', 'E', 'D', 'M', 'P', 'U', 'W') ('A', 'N', 'S', 'T', 'L', 'R', 'F', 'G', 'C') 3183112132
('S', 'T', 'H', 'E', 'P', 'L', 'M', 'W', 'F') ('A', 'R', 'I', 'N', 'D', 'O', 'G', 'C', 'U') 3183104559
('A', 'R', 'H', 'E', 'W', 'D', 'F', 'G', 'U') ('S', 'T', 'I', 'N', 'C', 'O', 'P', 'L', 'M') 3183067076
('S', 'N', 'H', 'E', 'L', 'D', 'M', 'P', 'U') ('I', 'R', 'A', 'T', 'C', 'O', 'G', 'W', 'F') 3183010694
('E', 'S', 'A', 'N', 'D', 'G', 'W', 'C', 'P') ('O', 'I', 'T', 'H', 'U', 'M', 'F', 'R', 'L') 3182992045
('A', 'S', 'T', 'E', 'D', 'L', 'W', 'F', 'P') ('O', 'R', 'I', 'N', 'C', 'U', 'G', 'H', 'M') 3182968789
('A', 'S', 'T', 'H', 'L', 'M', 'G', 'D', 'F') ('O', 'I', 'R', 'E', 'C', 'N', 'P', 'U', 'W') 3182959201
('O', 'N', 'T', 'H', 'C', 'G', 'P', 'L', 'M') ('A', 'S', 'E', 'R', 'D', 'U', 'F', 'I', 'W') 3182953806
('O', 'T', 'H', 'E', 'W', 'C', 'P', 'F', 'G') ('R', 'S', 'I', 'N', 'D', 'A', 'U', 'L', 'M') 3182920969
('A', 'R', 'T', 'I', 'L', 'D', 'W', 'C', 'P') ('S', 'O', 'H', 'E', 'G', 'N', 'M', 'U', 'F') 3182890910
('A', 'N', 'H', 'E', 'C', 'D', 'M', 'G', 'F') ('O', 'I', 'S', 'T', 'U', 'R', 'W', 'L', 'P') 3182888322
('A', 'I', 'S', 'T', 'P', 'L', 'D', 'C', 'M') ('R', 'O', 'H', 'E', 'G', 'N', 'F', 'U', 'W') 3182872701
('A', 'R', 'H', 'E', 'C', 'D', 'M', 'G', 'F') ('S', 'T', 'I', 'N', 'P', 'O', 'U', 'L', 'W') 3182872417
('S', 'N', 'T', 'H', 'P', 'C', 'W', 'M', 'L') ('A', 'I', 'E', 'R', 'U', 'O', 'G', 'D', 'F') 3182870272
('A', 'R', 'H', 'E', 'L', 'D', 'F', 'G', 'W') ('O', 'I', 'S', 'T', 'U', 'N', 'P', 'M', 'C') 3182864696
('A', 'N', 'T', 'H', 'L', 'C', 'W', 'M', 'U') ('I', 'S', 'E', 'R', 'D', 'O', 'G', 'P', 'F') 3182795405
('A', 'I', 'T', 'H', 'U', 'C', 'W', 'D', 'M') ('O', 'N', 'E', 'R', 'L', 'G', 'P', 'S', 'F') 3182781818
('A', 'N', 'T', 'E', 'M', 'D', 'W', 'F', 'U') ('I', 'S', 'O', 'R', 'C', 'H', 'P', 'L', 'G') 3182738172
('A', 'S', 'T', 'E', 'L', 'C', 'M', 'U', 'F') ('O', 'R', 'I', 'N', 'D', 'G', 'W', 'H', 'P') 3182700172
('A', 'N', 'H', 'E', 'C', 'L', 'M', 'G', 'U') ('O', 'I', 'S', 'T', 'F', 'R', 'W', 'D', 'P') 3182689284
('A', 'S', 'E', 'R', 'D', 'P', 'W', 'C', 'M') ('O', 'T', 'I', 'N', 'G', 'H', 'U', 'L', 'F') 3182660587
('R', 'A', 'T', 'O', 'U', 'C', 'M', 'D', 'G') ('I', 'N', 'H', 'E', 'L', 'S', 'F', 'W', 'P') 3182659822
('N', 'S', 'E', 'R', 'D', 'U', 'P', 'L', 'G') ('I', 'A', 'T', 'H', 'O', 'C', 'W', 'M', 'F') 3182644042
('I', 'N', 'H', 'E', 'C', 'M', 'P', 'U', 'F') ('R', 'S', 'A', 'T', 'D', 'O', 'G', 'L', 'W') 3182607201
('I', 'N', 'E', 'R', 'C', 'G', 'F', 'D', 'W') ('S', 'A', 'T', 'H', 'U', 'L', 'M', 'O', 'P') 3182596741
('S', 'T', 'I', 'N', 'G', 'W', 'C', 'L', 'M') ('A', 'O', 'H', 'E', 'D', 'R', 'P', 'U', 'F') 3182581777
('I', 'S', 'H', 'E', 'M', 'D', 'F', 'G', 'U') ('T', 'R', 'A', 'N', 'L', 'O', 'W', 'C', 'P') 3182575820
('A', 'R', 'T', 'I', 'L', 'D', 'G', 'U', 'F') ('O', 'S', 'H', 'E', 'C', 'N', 'M', 'P', 'W') 3182551748
('A', 'T', 'I', 'N', 'G', 'U', 'P', 'L', 'M') ('O', 'S', 'H', 'E', 'C', 'R', 'D', 'W', 'F') 3182482453
('A', 'N', 'E', 'S', 'L', 'G', 'W', 'M', 'P') ('O', 'I', 'T', 'H', 'U', 'C', 'F', 'R', 'D') 3182481351
('N', 'T', 'H', 'E', 'G', 'D', 'M', 'P', 'F') ('I', 'S', 'A', 'R', 'C', 'O', 'U', 'L', 'W') 3182480316
('N', 'S', 'H', 'E', 'C', 'L', 'M', 'G', 'F') ('O', 'R', 'A', 'T', 'D', 'I', 'U', 'P', 'W') 3182475693
('R', 'S', 'T', 'H', 'D', 'C', 'F', 'U', 'L') ('O', 'E', 'I', 'N', 'G', 'A', 'P', 'M', 'W') 3182474045
('O', 'S', 'H', 'E', 'C', 'D', 'F', 'W', 'U') ('A', 'T', 'I', 'N', 'G', 'R', 'P', 'L', 'M') 3182470983
('O', 'I', 'H', 'E', 'U', 'L', 'M', 'P', 'F') ('A', 'N', 'S', 'T', 'R', 'D', 'C', 'G', 'W') 3182450243
('O', 'S', 'I', 'N', 'C', 'U', 'P', 'L', 'M') ('A', 'T', 'H', 'E', 'G', 'R', 'D', 'W', 'F') 3182405209
('O', 'R', 'H', 'E', 'C', 'L', 'M', 'U', 'G') ('T', 'S', 'I', 'N', 'D', 'A', 'W', 'F', 'P') 3182376558
('A', 'T', 'I', 'N', 'G', 'U', 'P', 'M', 'C') ('S', 'O', 'H', 'E', 'D', 'R', 'L', 'F', 'W') 3182356400
('A', 'O', 'T', 'E', 'D', 'M', 'P', 'U', 'F') ('R', 'S', 'I', 'N', 'C', 'G', 'W', 'H', 'L') 3182304437
('A', 'N', 'H', 'E', 'L', 'D', 'M', 'C', 'G') ('O', 'I', 'S', 'T', 'U', 'R', 'W', 'F', 'P') 3182281362
('A', 'O', 'I', 'N', 'D', 'C', 'P', 'M', 'W') ('S', 'T', 'H', 'E', 'G', 'R', 'L', 'U', 'F') 3182278259
('A', 'O', 'E', 'R', 'G', 'F', 'W', 'M', 'C') ('I', 'N', 'T', 'H', 'L', 'D', 'P', 'S', 'U') 3182276761
('I', 'R', 'H', 'E', 'L', 'D', 'C', 'F', 'P') ('O', 'A', 'S', 'T', 'U', 'N', 'W', 'M', 'G') 3182271890
('A', 'O', 'I', 'N', 'D', 'U', 'G', 'L', 'M') ('S', 'T', 'H', 'E', 'P', 'R', 'C', 'W', 'F') 3182270833
('A', 'S', 'H', 'E', 'C', 'D', 'M', 'W', 'F') ('R', 'T', 'I', 'N', 'G', 'O', 'U', 'L', 'P') 3182224280
('O', 'I', 'E', 'R', 'P', 'G', 'W', 'C', 'M') ('A', 'N', 'T', 'H', 'L', 'D', 'U', 'S', 'F') 3182186741
('E', 'N', 'T', 'H', 'M', 'C', 'W', 'F', 'P') ('I', 'S', 'A', 'R', 'L', 'O', 'G', 'D', 'U') 3182145175
('E', 'S', 'I', 'N', 'D', 'G', 'W', 'M', 'F') ('O', 'A', 'T', 'H', 'U', 'C', 'P', 'R', 'L') 3182141525
('A', 'S', 'H', 'E', 'C', 'L', 'D', 'W', 'G') ('O', 'T', 'I', 'N', 'M', 'U', 'P', 'R', 'F') 3182134517
('E', 'N', 'S', 'T', 'M', 'D', 'F', 'C', 'P') ('I', 'H', 'O', 'R', 'L', 'A', 'G', 'U', 'W') 3182104506
('A', 'N', 'H', 'E', 'L', 'D', 'C', 'G', 'P') ('O', 'I', 'S', 'T', 'U', 'R', 'W', 'F', 'M') 3182063705
('A', 'R', 'S', 'T', 'L', 'D', 'F', 'M', 'W') ('O', 'I', 'H', 'E', 'C', 'N', 'P', 'U', 'G') 3182001079
('S', 'T', 'I', 'N', 'G', 'D', 'P', 'L', 'F') ('A', 'O', 'H', 'E', 'C', 'R', 'M', 'U', 'W') 3181945870
('A', 'S', 'I', 'N', 'D', 'U', 'P', 'M', 'F') ('O', 'T', 'H', 'E', 'C', 'R', 'L', 'W', 'G') 3181937477
('O', 'E', 'S', 'T', 'U', 'L', 'F', 'C', 'P') ('A', 'R', 'I', 'N', 'D', 'G', 'W', 'H', 'M') 3181933466
('E', 'T', 'I', 'N', 'G', 'D', 'U', 'P', 'W') ('O', 'S', 'A', 'R', 'L', 'F', 'C', 'H', 'M') 3181929648
('I', 'S', 'H', 'E', 'C', 'L', 'M', 'W', 'U') ('T', 'R', 'A', 'N', 'D', 'O', 'G', 'P', 'F') 3181916219
('A', 'T', 'H', 'E', 'M', 'L', 'D', 'C', 'U') ('O', 'S', 'I', 'N', 'F', 'G', 'P', 'R', 'W') 3181874449
('A', 'S', 'H', 'E', 'C', 'L', 'G', 'W', 'U') ('R', 'T', 'I', 'N', 'D', 'O', 'P', 'M', 'F') 3181867917
('I', 'R', 'A', 'T', 'L', 'D', 'F', 'M', 'G') ('O', 'S', 'H', 'E', 'C', 'N', 'P', 'U', 'W') 3181841151
('A', 'S', 'T', 'E', 'L', 'D', 'M', 'P', 'G') ('O', 'R', 'I', 'N', 'C', 'U', 'W', 'H', 'F') 3181812803
('O', 'I', 'S', 'T', 'U', 'C', 'W', 'D', 'G') ('A', 'N', 'H', 'E', 'L', 'R', 'M', 'P', 'F') 3181782615
('S', 'N', 'H', 'E', 'L', 'D', 'M', 'C', 'W') ('O', 'R', 'A', 'T', 'F', 'I', 'U', 'P', 'G') 3181766021
('I', 'S', 'H', 'E', 'C', 'D', 'M', 'P', 'F') ('O', 'A', 'N', 'T', 'U', 'R', 'W', 'L', 'G') 3181763947
('A', 'S', 'E', 'R', 'D', 'P', 'G', 'M', 'F') ('O', 'I', 'T', 'H', 'U', 'C', 'W', 'N', 'L') 3181746620
('S', 'N', 'H', 'E', 'M', 'L', 'F', 'W', 'U') ('I', 'R', 'A', 'T', 'C', 'O', 'G', 'D', 'P') 3181728143
('O', 'S', 'I', 'N', 'D', 'U', 'F', 'L', 'M') ('A', 'T', 'H', 'E', 'P', 'R', 'C', 'W', 'G') 3181723913
('E', 'T', 'I', 'N', 'G', 'C', 'P', 'L', 'M') ('O', 'S', 'A', 'R', 'F', 'U', 'W', 'H', 'D') 3181714268
('R', 'A', 'T', 'O', 'U', 'C', 'P', 'D', 'G') ('I', 'N', 'H', 'E', 'L', 'S', 'M', 'W', 'F') 3181710512
('O', 'A', 'T', 'E', 'F', 'M', 'C', 'U', 'P') ('R', 'S', 'I', 'N', 'D', 'G', 'W', 'H', 'L') 3181707568
('R', 'S', 'I', 'N', 'D', 'P', 'F', 'L', 'M') ('A', 'T', 'H', 'E', 'C', 'O', 'G', 'W', 'U') 3181687143
('A', 'S', 'I', 'N', 'D', 'U', 'W', 'L', 'C') ('O', 'T', 'H', 'E', 'P', 'R', 'M', 'F', 'G') 3181676523
('I', 'R', 'H', 'E', 'C', 'D', 'M', 'P', 'U') ('S', 'T', 'A', 'N', 'G', 'O', 'W', 'L', 'F') 3181676164
('O', 'A', 'T', 'H', 'U', 'L', 'F', 'D', 'P') ('S', 'I', 'R', 'E', 'C', 'N', 'M', 'W', 'G') 3181664547
('A', 'S', 'E', 'R', 'L', 'P', 'G', 'C', 'M') ('O', 'N', 'T', 'H', 'F', 'D', 'W', 'I', 'U') 3181662223
('S', 'N', 'T', 'H', 'L', 'D', 'W', 'U', 'M') ('A', 'I', 'E', 'R', 'P', 'O', 'G', 'C', 'F') 3181642157
('O', 'I', 'S', 'T', 'U', 'L', 'M', 'P', 'D') ('A', 'R', 'H', 'E', 'C', 'N', 'F', 'W', 'G') 3181641684
('O', 'T', 'A', 'N', 'G', 'U', 'F', 'L', 'C') ('I', 'S', 'H', 'E', 'D', 'R', 'M', 'P', 'W') 3181631563
('A', 'I', 'H', 'E', 'C', 'D', 'P', 'W', 'F') ('S', 'O', 'N', 'T', 'U', 'R', 'M', 'G', 'L') 3181615190
('O', 'S', 'I', 'N', 'D', 'U', 'W', 'L', 'M') ('A', 'T', 'H', 'E', 'P', 'R', 'C', 'G', 'F') 3181610707
('O', 'T', 'E', 'R', 'M', 'P', 'C', 'L', 'D') ('A', 'S', 'I', 'N', 'G', 'U', 'W', 'H', 'F') 3181570391
('I', 'A', 'S', 'T', 'U', 'L', 'M', 'D', 'G') ('O', 'R', 'H', 'E', 'C', 'N', 'P', 'F', 'W') 3181553101
('A', 'T', 'I', 'N', 'G', 'D', 'P', 'L', 'W') ('O', 'S', 'H', 'E', 'C', 'R', 'M', 'U', 'F') 3181535955
('A', 'S', 'H', 'E', 'C', 'D', 'M', 'P', 'G') ('R', 'T', 'I', 'N', 'W', 'O', 'U', 'L', 'F') 3181525851
('A', 'N', 'H', 'E', 'L', 'D', 'U', 'G', 'W') ('O', 'I', 'S', 'T', 'F', 'R', 'M', 'P', 'C') 3181517374
('O', 'S', 'H', 'E', 'C', 'D', 'M', 'W', 'G') ('T', 'R', 'I', 'N', 'L', 'A', 'U', 'P', 'F') 3181483938
('O', 'R', 'A', 'N', 'L', 'D', 'P', 'M', 'C') ('I', 'T', 'H', 'E', 'G', 'S', 'F', 'W', 'U') 3181454381
('A', 'N', 'H', 'E', 'L', 'D', 'M', 'P', 'W') ('O', 'I', 'S', 'T', 'U', 'R', 'F', 'C', 'G') 3181450559
('E', 'N', 'T', 'H', 'C', 'D', 'G', 'U', 'L') ('I', 'S', 'A', 'R', 'F', 'O', 'P', 'M', 'W') 3181439520
('O', 'T', 'I', 'N', 'G', 'U', 'F', 'L', 'C') ('A', 'S', 'H', 'E', 'D', 'R', 'M', 'P', 'W') 3181419047
('O', 'R', 'H', 'E', 'L', 'D', 'C', 'W', 'P') ('S', 'T', 'I', 'N', 'G', 'A', 'U', 'M', 'F') 3181418177
('I', 'N', 'T', 'H', 'L', 'C', 'W', 'M', 'U') ('A', 'S', 'E', 'R', 'D', 'O', 'G', 'P', 'F') 3181415565
('A', 'R', 'I', 'N', 'L', 'D', 'W', 'C', 'M') ('S', 'T', 'H', 'E', 'P', 'O', 'G', 'U', 'F') 3181364724
('I', 'R', 'H', 'E', 'C', 'D', 'P', 'U', 'W') ('S', 'T', 'A', 'N', 'M', 'O', 'G', 'L', 'F') 3181338425
('R', 'I', 'T', 'H', 'U', 'L', 'W', 'D', 'M') ('E', 'S', 'A', 'N', 'C', 'O', 'G', 'P', 'F') 3181327969
('A', 'R', 'T', 'I', 'C', 'D', 'M', 'U', 'F') ('O', 'N', 'H', 'E', 'L', 'S', 'P', 'G', 'W') 3181297831
('O', 'I', 'H', 'E', 'F', 'L', 'M', 'U', 'W') ('A', 'N', 'S', 'T', 'R', 'D', 'C', 'G', 'P') 3181289231
('N', 'S', 'E', 'R', 'G', 'U', 'F', 'C', 'P') ('I', 'A', 'T', 'H', 'O', 'L', 'W', 'D', 'M') 3181274501
('O', 'S', 'I', 'N', 'C', 'U', 'W', 'L', 'M') ('A', 'T', 'H', 'E', 'P', 'R', 'D', 'G', 'F') 3181176786
('O', 'A', 'T', 'H', 'W', 'L', 'G', 'D', 'M') ('S', 'I', 'R', 'E', 'C', 'N', 'P', 'U', 'F') 3181146880
('I', 'S', 'H', 'E', 'M', 'D', 'P', 'U', 'F') ('R', 'T', 'A', 'N', 'G', 'O', 'W', 'L', 'C') 3181143645
('I', 'A', 'S', 'T', 'F', 'D', 'C', 'M', 'G') ('O', 'R', 'H', 'E', 'L', 'N', 'P', 'U', 'W') 3181128507
('T', 'N', 'E', 'R', 'P', 'G', 'W', 'L', 'M') ('O', 'H', 'A', 'S', 'F', 'I', 'U', 'C', 'D') 3181103983
('I', 'N', 'T', 'H', 'C', 'D', 'P', 'M', 'U') ('A', 'S', 'E', 'R', 'L', 'O', 'G', 'W', 'F') 3181096801
('O', 'N', 'E', 'R', 'F', 'U', 'P', 'L', 'G') ('A', 'S', 'T', 'H', 'D', 'C', 'W', 'I', 'M') 3181025054
('N', 'T', 'E', 'S', 'P', 'U', 'W', 'C', 'F') ('I', 'H', 'A', 'R', 'L', 'O', 'G', 'D', 'M') 3181005098
('I', 'N', 'H', 'E', 'L', 'D', 'M', 'C', 'G') ('O', 'A', 'S', 'T', 'U', 'R', 'W', 'F', 'P') 3181004968
('T', 'R', 'I', 'N', 'C', 'D', 'W', 'M', 'F') ('A', 'S', 'H', 'E', 'L', 'O', 'G', 'U', 'P') 3180996025
('A', 'T', 'I', 'N', 'G', 'U', 'W', 'L', 'C') ('O', 'S', 'H', 'E', 'D', 'R', 'M', 'P', 'F') 3180975457
('E', 'N', 'S', 'T', 'C', 'D', 'F', 'M', 'W') ('O', 'A', 'R', 'I', 'U', 'L', 'H', 'G', 'P') 3180972935
('E', 'N', 'S', 'T', 'M', 'D', 'C', 'W', 'P') ('A', 'I', 'O', 'R', 'U', 'L', 'G', 'H', 'F') 3180968781
('O', 'T', 'A', 'N', 'M', 'G', 'W', 'L', 'C') ('I', 'S', 'H', 'E', 'D', 'R', 'P', 'U', 'F') 3180964762
('R', 'A', 'N', 'T', 'U', 'L', 'M', 'P', 'C') ('I', 'S', 'H', 'E', 'D', 'O', 'G', 'W', 'F') 3180936108
('T', 'N', 'R', 'E', 'M', 'D', 'W', 'F', 'U') ('I', 'H', 'A', 'S', 'L', 'O', 'G', 'C', 'P') 3180924271
